County,FIPS,Region,Region ID,Region Color (hex)
Potter,48375,FW/Denton/Panhandle,4,#D0BCA3
Presidio,48377,EP/Border/RGV,5,#F9F2D4
Rains,48379,Dallas/Collin/NE,2,#4A0404
Randall,48381,FW/Denton/Panhandle,4,#D0BCA3
Reagan,48383,EP/Border/RGV,5,#F9F2D4
Real,48385,EP/Border/RGV,5,#F9F2D4
Red River,48387,Dallas/Collin/NE,2,#4A0404
Reeves,48389,EP/Border/RGV,5,#F9F2D4
Refugio,48391,SA/Corpus,6,#809351
Roberts,48393,FW/Denton/Panhandle,4,#D0BCA3
Robertson,48395,AUS/CenTex,7,#E3F0FC
Rockwall,48397,Dallas/Collin/NE,2,#4A0404
Runnels,48399,FW/Denton/Panhandle,4,#D0BCA3
Rusk,48401,Dallas/Collin/NE,2,#4A0404
Sabine,48403,HOU/Gulf/East,3,#6287B5
San Augustine,48405,HOU/Gulf/East,3,#6287B5
San Jacinto,48407,HOU/Gulf/East,3,#6287B5
San Patricio,48409,SA/Corpus,6,#809351
San Saba,48411,AUS/CenTex,7,#E3F0FC
Schleicher,48413,EP/Border/RGV,5,#F9F2D4
Scurry,48415,FW/Denton/Panhandle,4,#D0BCA3
Shackelford,48417,FW/Denton/Panhandle,4,#D0BCA3
Shelby,48419,HOU/Gulf/East,3,#6287B5
Sherman,48421,FW/Denton/Panhandle,4,#D0BCA3
Smith,48423,Dallas/Collin/NE,2,#4A0404
Somervell,48425,FW/Denton/Panhandle,4,#D0BCA3
Starr,48427,EP/Border/RGV,5,#F9F2D4
Stephens,48429,FW/Denton/Panhandle,4,#D0BCA3
Sterling,48431,EP/Border/RGV,5,#F9F2D4
Stonewall,48433,FW/Denton/Panhandle,4,#D0BCA3
Sutton,48435,EP/Border/RGV,5,#F9F2D4
Swisher,48437,FW/Denton/Panhandle,4,#D0BCA3
Tarrant,48439,FW/Denton/Panhandle,4,#D0BCA3
Taylor,48441,FW/Denton/Panhandle,4,#D0BCA3
Terrell,48443,EP/Border/RGV,5,#F9F2D4
Terry,48445,FW/Denton/Panhandle,4,#D0BCA3
Throckmorton,48447,FW/Denton/Panhandle,4,#D0BCA3
Titus,48449,Dallas/Collin/NE,2,#4A0404
Tom Green,48451,EP/Border/RGV,5,#F9F2D4
Travis,48453,AUS/CenTex,7,#E3F0FC
Trinity,48455,HOU/Gulf/East,3,#6287B5
Tyler,48457,HOU/Gulf/East,3,#6287B5
Upshur,48459,Dallas/Collin/NE,2,#4A0404
Upton,48461,EP/Border/RGV,5,#F9F2D4
Uvalde,48463,EP/Border/RGV,5,#F9F2D4
Val Verde,48465,EP/Border/RGV,5,#F9F2D4
Van Zandt,48467,Dallas/Collin/NE,2,#4A0404
Victoria,48469,SA/Corpus,6,#809351
Walker,48471,HOU/Gulf/East,3,#6287B5
Waller,48473,HOU/Gulf/East,3,#6287B5
Ward,48475,EP/Border/RGV,5,#F9F2D4
Washington,48477,AUS/CenTex,7,#E3F0FC
Webb,48479,EP/Border/RGV,5,#F9F2D4
Wharton,48481,HOU/Gulf/East,3,#6287B5
Wheeler,48483,FW/Denton/Panhandle,4,#D0BCA3
Wichita,48485,FW/Denton/Panhandle,4,#D0BCA3
Wilbarger,48487,FW/Denton/Panhandle,4,#D0BCA3
Willacy,48489,EP/Border/RGV,5,#F9F2D4
Williamson,48491,AUS/CenTex,7,#E3F0FC
Wilson,48493,SA/Corpus,6,#809351
Winkler,48495,EP/Border/RGV,5,#F9F2D4
Wise,48497,FW/Denton/Panhandle,4,#D0BCA3
Wood,48499,Dallas/Collin/NE,2,#4A0404
Yoakum,48501,FW/Denton/Panhandle,4,#D0BCA3
Young,48503,FW/Denton/Panhandle,4,#D0BCA3
Zapata,48505,EP/Border/RGV,5,#F9F2D4
Zavala,48507,EP/Border/RGV,5,#F9F2D4
